,field_name,name,en_name,type,order,unit,com_type_code
207,CFA19,Tiền mua tài sản cố định và các tài sản dài hạn khác,Purchase of fixed assets and other long-term assets,Chỉ tiêu lưu chuyển tiền tệ,33,tỷ,CT
208,CFA20,Tiền thu được từ thanh lý tài sản cố định,Proceeds from disposal of fixed assets,Chỉ tiêu lưu chuyển tiền tệ,34,tỷ,CT
209,CFA21,Tiền cho vay hoặc mua công cụ nợ,"Loans granted, purchases of debt instruments",Chỉ tiêu lưu chuyển tiền tệ,35,tỷ,CT
210,CFA22,Tiền thu từ cho vay hoặc thu từ phát hành công cụ nợ,"Collection of loans, proceeds from sales of debts instruments",Chỉ tiêu lưu chuyển tiền tệ,36,tỷ,CT
211,CFA23,Đầu tư vào các doanh nghiệp khác,Investment in other entities,Chỉ tiêu lưu chuyển tiền tệ,37,tỷ,CT
212,CFA24,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Proceeds from divestment in other entities,Chỉ tiêu lưu chuyển tiền tệ,38,tỷ,CT
213,CFA25,Cổ tức và tiền lãi nhận được,Dividends and interest received,Chỉ tiêu lưu chuyển tiền tệ,39,tỷ,CT
214,CFA26,Lưu chuyển tiền tệ ròng từ hoạt động đầu tư,Net cash inflows/outflows from investing activities,Chỉ tiêu lưu chuyển tiền tệ,40,tỷ,CT
215,CFA27,Tiền thu từ phát hành cổ phiếu và vốn góp,Proceeds from shares issue,Chỉ tiêu lưu chuyển tiền tệ,41,tỷ,CT
216,CFA28,"Chi trả cho việc mua lại, trả cổ phiếu",Payments for share repurchases,Chỉ tiêu lưu chuyển tiền tệ,42,tỷ,CT
217,CFA29,Tiền thu được các khoản đi vay,Proceeds from borrowings,Chỉ tiêu lưu chuyển tiền tệ,43,tỷ,CT
218,CFA30,Tiền trả các khoản đi vay,Repayment of borrowings,Chỉ tiêu lưu chuyển tiền tệ,44,tỷ,CT
219,CFA31,Tiền thanh toán vốn gốc đi thuê tài chính,Finance lease principal payments,Chỉ tiêu lưu chuyển tiền tệ,45,tỷ,CT
220,CFA32,Cổ tức đã trả,Dividends paid,Chỉ tiêu lưu chuyển tiền tệ,46,tỷ,CT
221,CFA33,Cố tức đã nhận,Dividends received,Chỉ tiêu lưu chuyển tiền tệ,47,tỷ,CT
222,CFA34,Lưu chuyển tiền tệ từ hoạt động tài chính,Net cash inflows/outflows from financing activities,Chỉ tiêu lưu chuyển tiền tệ,48,tỷ,CT
223,CFA35,Lưu chuyển tiền thuần trong kỳ,Net increase/decrease in cash and cash equivalents,Chỉ tiêu lưu chuyển tiền tệ,49,tỷ,CT
224,CFA36,Tiền và tương đương tiền đầu kỳ,Cash and cash equivalents at the beginning of period,Chỉ tiêu lưu chuyển tiền tệ,50,tỷ,CT
225,CFA37,Ảnh hưởng của chênh lệch tỷ giá,Foreign exchange differences Adjustment,Chỉ tiêu lưu chuyển tiền tệ,51,tỷ,CT
226,CFA38,Tiền và tương đương tiền cuối kỳ,Cash and Cash Equivalents at the end of period,Chỉ tiêu lưu chuyển tiền tệ,52,tỷ,CT
227,CFA1,Lãi/Lỗ ròng trước thuế,Net Profit/Loss before tax,Chỉ tiêu lưu chuyển tiền tệ,1,tỷ,NH
228,CFA2,Khấu hao TSCĐ,Depreciation and Amortisation,Chỉ tiêu lưu chuyển tiền tệ,2,tỷ,NH
229,CFA3,Dự phòng RR tín dụng,Provision for credit losses,Chỉ tiêu lưu chuyển tiền tệ,3,tỷ,NH
230,CFB80,(Lãi)/lỗ các hoạt động khác,Profits from other activities,Chỉ tiêu lưu chuyển tiền tệ,4,tỷ,NH
231,CFA9,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Operating profit before changes in working capital,Chỉ tiêu lưu chuyển tiền tệ,5,tỷ,NH
232,CFB64,Lưu chuyển tiền thuần từ HĐKD trước thuế,Net Cash Flows from Operating Activities before BIT,Chỉ tiêu lưu chuyển tiền tệ,7,tỷ,NH
233,CFA15,Tiền thu nhập doanh nghiệp đã trả,Business Income Tax paid,Chỉ tiêu lưu chuyển tiền tệ,8,tỷ,NH
234,CFB65,Chi từ các quỹ của TCTD,Payment from reserves,Chỉ tiêu lưu chuyển tiền tệ,9,tỷ,NH
235,CFA19,Mua sắm TSCĐ,Purchase of fixed assets,Chỉ tiêu lưu chuyển tiền tệ,11,tỷ,NH
236,CFA25,Tiền thu cổ tức và lợi nhuận được chia,Gain on Dividend,Chỉ tiêu lưu chuyển tiền tệ,12,tỷ,NH
237,CFA26,Lưu chuyển từ hoạt động đầu tư,Net Cash Flows from Investing Activities,Chỉ tiêu lưu chuyển tiền tệ,13,tỷ,NH
238,revenueGrowth,Tăng trưởng doanh thu (%),Revenue YoY (%),Chỉ tiêu kết quả kinh doanh,2,%,CT
239,CFA27,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Increase in charter captial,Chỉ tiêu lưu chuyển tiền tệ,14,tỷ,NH
240,CFA34,Lưu chuyển tiền từ hoạt động tài chính,Cash flows from financial activities,Chỉ tiêu lưu chuyển tiền tệ,15,tỷ,NH
241,CFA35,Lưu chuyển tiền thuần trong kỳ,Net increase/decrease in cash and cash equivalents,Chỉ tiêu lưu chuyển tiền tệ,16,tỷ,NH
242,CFA36,Tiền và tương đương tiền,Cash and cash equivalents,Chỉ tiêu lưu chuyển tiền tệ,17,tỷ,NH
243,CFA37,Ảnh hưởng của chênh lệch tỷ giá,Foreign exchange differences Adjustment,Chỉ tiêu lưu chuyển tiền tệ,18,tỷ,NH
244,pb,P/B,P/B,Chỉ tiêu định giá,17,index,CK
245,CFA38,Tiền và tương đương tiền cuối kỳ,Cash and Cash Equivalents at the end of period,Chỉ tiêu lưu chuyển tiền tệ,19,tỷ,NH
246,revenue,Doanh thu (Tỷ đồng),Revenue (Bn. VND),Chỉ tiêu kết quả kinh doanh,1,tỷ,BH
247,revenueGrowth,Tăng trưởng doanh thu (%),Revenue YoY (%),Chỉ tiêu kết quả kinh doanh,2,%,BH
248,netProfit,Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng),Attribute to parent company (Bn. VND),Chỉ tiêu kết quả kinh doanh,3,tỷ,BH
249,netProfitGrowth,Tăng trưởng lợi nhuận (%),Attribute to parent company YoY (%),Chỉ tiêu kết quả kinh doanh,4,%,BH
250,ebitMargin,EBIT Margin (%),Biên EBIT (%),Chỉ tiêu khả năng sinh lợi,7,%,BH
251,grossMargin,Biên lợi nhuận gộp (%),Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi,8,%,BH
252,netProfitMargin,Biên lợi nhuận ròng (%),Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi,9,%,BH
253,roe,ROE (%),ROE (%),Chỉ tiêu khả năng sinh lợi,10,%,BH
254,roic,ROIC (%),ROIC (%),Chỉ tiêu khả năng sinh lợi,11,%,BH
255,roa,ROA (%),ROA (%),Chỉ tiêu khả năng sinh lợi,12,%,BH
256,ev,Vốn hóa (Tỷ đồng),Market Capital (Bn. VND),Chỉ tiêu định giá,14,tỷ,BH
257,issueShare,Số CP lưu hành (Triệu CP),Outstanding Share (Mil. Shares),Chỉ tiêu định giá,15,triệu,BH
258,pe,P/E,P/E,Chỉ tiêu định giá,16,index,BH
259,pb,P/B,P/B,Chỉ tiêu định giá,17,index,BH
260,ps,P/S,P/S,Chỉ tiêu định giá,18,index,BH
261,pcf,P/Cash Flow,P/Cash Flow,Chỉ tiêu định giá,19,index,BH
262,eps,EPS (VND),EPS (VND),Chỉ tiêu định giá,20,index,BH
263,bvps,BVPS (VND),BVPS (VND),Chỉ tiêu định giá,21,index,BH
264,evPerEbitda,EV/EBITDA,EV/EBITDA,Chỉ tiêu định giá,22,index,BH
265,currentRatio,Chỉ số thanh toán hiện thời,Current Ratio,Chỉ tiêu thanh khoản,23,index,BH
266,cashRatio,Chỉ số thanh toán tiền mặt,Cash Ratio,Chỉ tiêu thanh khoản,24,index,BH
267,quickRatio,Chỉ số thanh toán nhanh,Quick Ratio,Chỉ tiêu thanh khoản,25,index,BH
268,interestCoverage,Khả năng chi trả lãi vay,Interest Coverage,Chỉ tiêu thanh khoản,26,index,BH
269,ae,Đòn bẩy tài chính,Financial Leverage,Chỉ tiêu thanh khoản,27,index,BH
270,at,Vòng quay tài sản,Asset Turnover,Chỉ tiêu hiệu quả hoạt động,29,index,BH
271,fat,Vòng quay TSCĐ,Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động,30,index,BH
272,acp,Số ngày thu tiền bình quân,Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động,31,index,BH
273,dso,Số ngày tồn kho bình quân,Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động,32,index,BH
274,dpo,Số ngày thanh toán bình quân,Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động,33,index,BH
275,ccc,Chu kỳ tiền,Cash Cycle,Chỉ tiêu hiệu quả hoạt động,34,index,BH
276,le,(Vay NH+DH)/VCSH,(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn,35,index,BH
277,de,Nợ / Vốn CSH,Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn,37,index,BH
278,revenue,Doanh thu (Tỷ đồng),Revenue (Bn. VND),Chỉ tiêu kết quả kinh doanh,1,tỷ,CK
279,revenueGrowth,Tăng trưởng doanh thu (%),Revenue YoY (%),Chỉ tiêu kết quả kinh doanh,2,%,CK
280,netProfit,Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng),Attribute to parent company (Bn. VND),Chỉ tiêu kết quả kinh doanh,3,tỷ,CK
281,netProfitGrowth,Tăng trưởng lợi nhuận (%),Attribute to parent company YoY (%),Chỉ tiêu kết quả kinh doanh,4,%,CK
282,ebitMargin,EBIT Margin (%),Biên EBIT (%),Chỉ tiêu khả năng sinh lợi,7,%,CK
283,grossMargin,Biên lợi nhuận gộp (%),Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi,8,%,CK
284,netProfitMargin,Biên lợi nhuận ròng (%),Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi,9,%,CK
285,roe,ROE (%),ROE (%),Chỉ tiêu khả năng sinh lợi,10,%,CK
286,roic,ROIC (%),ROIC (%),Chỉ tiêu khả năng sinh lợi,11,%,CK
287,roa,ROA (%),ROA (%),Chỉ tiêu khả năng sinh lợi,12,%,CK
288,ev,Vốn hóa (Tỷ đồng),Market Capital (Bn. VND),Chỉ tiêu định giá,14,tỷ,CK
289,issueShare,Số CP lưu hành (Triệu CP),Outstanding Share (Mil. Shares),Chỉ tiêu định giá,15,triệu,CK
290,pe,P/E,P/E,Chỉ tiêu định giá,16,index,CK
291,ps,P/S,P/S,Chỉ tiêu định giá,18,index,CK
292,pcf,P/Cash Flow,P/Cash Flow,Chỉ tiêu định giá,19,index,CK
293,eps,EPS (VND),EPS (VND),Chỉ tiêu định giá,20,index,CK
294,bvps,BVPS (VND),BVPS (VND),Chỉ tiêu định giá,21,index,CK
295,evPerEbitda,EV/EBITDA,EV/EBITDA,Chỉ tiêu định giá,22,index,CK
296,currentRatio,Chỉ số thanh toán hiện thời,Current Ratio,Chỉ tiêu thanh khoản,23,index,CK
297,cashRatio,Chỉ số thanh toán tiền mặt,Cash Ratio,Chỉ tiêu thanh khoản,24,index,CK
298,quickRatio,Chỉ số thanh toán nhanh,Quick Ratio,Chỉ tiêu thanh khoản,25,index,CK
299,interestCoverage,Khả năng chi trả lãi vay,Interest Coverage,Chỉ tiêu thanh khoản,26,index,CK
300,ae,Đòn bẩy tài chính,Financial Leverage,Chỉ tiêu thanh khoản,27,index,CK
301,at,Vòng quay tài sản,Asset Turnover,Chỉ tiêu hiệu quả hoạt động,29,index,CK
302,fat,Vòng quay TSCĐ,Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động,30,index,CK
303,acp,Số ngày thu tiền bình quân,Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động,31,index,CK
304,dso,Số ngày tồn kho bình quân,Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động,32,index,CK
305,dpo,Số ngày thanh toán bình quân,Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động,33,index,CK
306,ccc,Chu kỳ tiền,Cash Cycle,Chỉ tiêu hiệu quả hoạt động,34,index,CK
307,le,(Vay NH+DH)/VCSH,(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn,35,index,CK
308,de,Nợ/VCSH,Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn,37,index,CK
309,revenue,Doanh thu (Tỷ đồng),Revenue (Bn. VND),Chỉ tiêu kết quả kinh doanh,1,tỷ,CT
310,revenueGrowth,Tăng trưởng doanh thu (%),Revenue YoY (%),Chỉ tiêu kết quả kinh doanh,2,%,CT
311,netProfit,Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng),Attribute to parent company (Bn. VND),Chỉ tiêu kết quả kinh doanh,3,tỷ,CT
312,netProfitGrowth,Tăng trưởng lợi nhuận (%),Attribute to parent company YoY (%),Chỉ tiêu kết quả kinh doanh,4,%,CT
313,ebitMargin,EBIT Margin (%),Biên EBIT (%),Chỉ tiêu khả năng sinh lợi,7,%,CT
314,grossMargin,Biên lợi nhuận gộp (%),Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi,8,%,CT
315,netProfitMargin,Biên lợi nhuận ròng (%),Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi,9,%,CT
316,roe,ROE (%),ROE (%),Chỉ tiêu khả năng sinh lợi,10,%,CT
317,roic,ROIC (%),ROIC (%),Chỉ tiêu khả năng sinh lợi,11,%,CT
318,roa,ROA (%),ROA (%),Chỉ tiêu khả năng sinh lợi,12,%,CT
319,ev,Vốn hóa (Tỷ đồng),Market Capital (Bn. VND),Chỉ tiêu định giá,14,tỷ,CT
320,issueShare,Số CP lưu hành (Triệu CP),Outstanding Share (Mil. Shares),Chỉ tiêu định giá,15,triệu,CT
321,pe,P/E,P/E,Chỉ tiêu định giá,16,index,CT
322,pb,P/B,P/B,Chỉ tiêu định giá,17,index,CT
323,ps,P/S,P/S,Chỉ tiêu định giá,18,index,CT
324,pcf,P/Cash Flow,P/Cash Flow,Chỉ tiêu định giá,19,index,CT
325,eps,EPS (VND),EPS (VND),Chỉ tiêu định giá,20,index,CT
326,bvps,BVPS (VND),BVPS (VND),Chỉ tiêu định giá,21,index,CT
327,evPerEbitda,EV/EBITDA,EV/EBITDA,Chỉ tiêu định giá,22,index,CT
328,currentRatio,Chỉ số thanh toán hiện thời,Current Ratio,Chỉ tiêu thanh khoản,23,index,CT
329,cashRatio,Chỉ số thanh toán tiền mặt,Cash Ratio,Chỉ tiêu thanh khoản,24,index,CT
330,quickRatio,Chỉ số thanh toán nhanh,Quick Ratio,Chỉ tiêu thanh khoản,25,index,CT
331,interestCoverage,Khả năng chi trả lãi vay,Interest Coverage,Chỉ tiêu thanh khoản,26,index,CT
332,ae,Đòn bẩy tài chính,Financial Leverage,Chỉ tiêu thanh khoản,27,index,CT
333,at,Vòng quay tài sản,Asset Turnover,Chỉ tiêu hiệu quả hoạt động,29,index,CT
334,fat,Vòng quay TSCĐ,Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động,30,index,CT
335,acp,Số ngày thu tiền bình quân,Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động,31,index,CT
336,dso,Số ngày tồn kho bình quân,Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động,32,index,CT
337,dpo,Số ngày thanh toán bình quân,Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động,33,index,CT
338,ps,P/S,P/S,Chỉ tiêu định giá,14,index,BH
339,ccc,Chu kỳ tiền,Cash Cycle,Chỉ tiêu hiệu quả hoạt động,34,index,CT
340,le,(Vay NH+DH)/VCSH,(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn,35,index,CT
341,de,Nợ/VCSH,Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn,37,index,CT
342,revenue,Doanh thu (Tỷ đồng),Revenue (Bn. VND),Chỉ tiêu kết quả kinh doanh,1,tỷ,NH
343,revenueGrowth,Tăng trưởng doanh thu (%),Revenue YoY (%),Chỉ tiêu kết quả kinh doanh,2,%,NH
344,netProfit,Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng),Attribute to parent company (Bn. VND),Chỉ tiêu kết quả kinh doanh,3,tỷ,NH
345,netProfitGrowth,Tăng trưởng lợi nhuận (%),Attribute to parent company YoY (%),Chỉ tiêu kết quả kinh doanh,4,%,NH
346,ebitMargin,EBIT Margin (%),Biên EBIT (%),Chỉ tiêu khả năng sinh lợi,7,%,NH
347,grossMargin,Biên lợi nhuận gộp (%),Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi,8,%,NH
348,netProfitMargin,Biên lợi nhuận ròng (%),Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi,9,%,NH
349,roe,ROE (%),ROE (%),Chỉ tiêu khả năng sinh lợi,10,%,NH
350,roic,ROIC (%),ROIC (%),Chỉ tiêu khả năng sinh lợi,11,%,NH
351,roa,ROA (%),ROA (%),Chỉ tiêu khả năng sinh lợi,12,%,NH
352,ev,Vốn hóa (Tỷ đồng),Market Capital (Bn. VND),Chỉ tiêu định giá,14,tỷ,NH
353,issueShare,Số CP lưu hành (Triệu CP),Outstanding Share (Mil. Shares),Chỉ tiêu định giá,15,triệu,NH
354,pe,P/E,P/E,Chỉ tiêu định giá,16,index,NH
355,pb,P/B,P/B,Chỉ tiêu định giá,17,index,NH
356,ps,P/S,P/S,Chỉ tiêu định giá,18,index,NH
357,pcf,P/Cash Flow,P/Cash Flow,Chỉ tiêu định giá,19,index,NH
358,eps,EPS (VND),EPS (VND),Chỉ tiêu định giá,20,index,NH
359,bvps,BVPS (VND),BVPS (VND),Chỉ tiêu định giá,21,index,NH
360,evPerEbitda,EV/EBITDA,EV/EBITDA,Chỉ tiêu định giá,22,index,NH
361,currentRatio,Chỉ số thanh toán hiện thời,Current Ratio,Chỉ tiêu thanh khoản,23,index,NH
362,cashRatio,Chỉ số thanh toán tiền mặt,Cash Ratio,Chỉ tiêu thanh khoản,24,index,NH
363,quickRatio,Chỉ số thanh toán nhanh,Quick Ratio,Chỉ tiêu thanh khoản,25,index,NH
364,interestCoverage,Khả năng chi trả lãi vay,Interest Coverage,Chỉ tiêu thanh khoản,26,index,NH
365,ae,Đòn bẩy tài chính,Financial Leverage,Chỉ tiêu thanh khoản,27,index,NH
366,at,Vòng quay tài sản,Asset Turnover,Chỉ tiêu hiệu quả hoạt động,29,index,NH
367,fat,Vòng quay TSCĐ,Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động,30,index,NH
368,acp,Số ngày thu tiền bình quân,Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động,31,index,NH
369,dso,Số ngày tồn kho bình quân,Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động,32,index,NH
370,dpo,Số ngày thanh toán bình quân,Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động,33,index,NH
371,ccc,Chu kỳ tiền,Cash Cycle,Chỉ tiêu hiệu quả hoạt động,34,index,NH
372,le,(Vay NH+DH)/VCSH,(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn,35,index,NH
373,de,Nợ/VCSH,Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn,37,index,NH
374,revenue,Doanh thu (Tỷ đồng),Revenue (Bn. VND),Chỉ tiêu kết quả kinh doanh,1,tỷ,BH
375,revenueGrowth,Tăng trưởng doanh thu (%),Revenue YoY (%),Chỉ tiêu kết quả kinh doanh,2,%,BH
376,netProfit,Lợi nhuận sau thuế của Cổ đông công ty mẹ (Tỷ đồng),Attribute to parent company (Bn. VND),Chỉ tiêu kết quả kinh doanh,3,tỷ,BH
377,netProfitGrowth,Tăng trưởng lợi nhuận (%),Attribute to parent company YoY (%),Chỉ tiêu kết quả kinh doanh,4,%,BH
378,ebitMargin,Biên EBIT (%),EBIT Margin (%),Chỉ tiêu khả năng sinh lợi,5,%,BH
379,netProfitMargin,Biên lợi nhuận ròng (%),Net Profit Margin (%),Chỉ tiêu khả năng sinh lợi,6,%,BH
380,grossMargin,Biên lợi nhuận gộp (%),Gross Profit Margin (%),Chỉ tiêu khả năng sinh lợi,7,%,BH
381,roe,ROE (%),ROE (%),Chỉ tiêu khả năng sinh lợi,8,%,BH
382,roic,ROIC (%),ROIC (%),Chỉ tiêu khả năng sinh lợi,9,%,BH
383,roa,ROA (%),ROA (%),Chỉ tiêu khả năng sinh lợi,10,%,BH
384,pe,P/E,P/E,Chỉ tiêu định giá,12,index,BH
385,pb,P/B,P/B,Chỉ tiêu định giá,13,index,BH
386,pcf,P/Cash Flow,P/Cash Flow,Chỉ tiêu định giá,15,index,BH
387,eps,EPS (VND),EPS (VND),Chỉ tiêu định giá,16,index,BH
388,bvps,BVPS (VND),BVPS (VND),Chỉ tiêu định giá,17,index,BH
389,evPerEbitda,EV/EBITDA,EV/EBITDA,Chỉ tiêu định giá,18,index,BH
390,issueShare,Số CP lưu hành (Triệu CP),Outstanding Share (Mil. Shares),Chỉ tiêu định giá,19,triệu,BH
391,ev,Vốn hóa (Tỷ đồng),Market Capital (Bn. VND),Chỉ tiêu định giá,20,tỷ,BH
392,BSA1,TÀI SẢN NGẮN HẠN (Tỷ đồng),CURRENT ASSETS (Bn. VND),Chỉ tiêu cân đối kế toán,21,tỷ,BH
393,BSA2,Tiền và tương đương tiền (Tỷ đồng),Cash and cash equivalents (Bn. VND),Chỉ tiêu cân đối kế toán,22,tỷ,BH
394,BSA5,Giá trị thuần đầu tư ngắn hạn (Tỷ đồng),Short-term investments (Bn. VND),Chỉ tiêu cân đối kế toán,23,tỷ,BH
395,BSA8,Các khoản phải thu ngắn hạn (Tỷ đồng),Accounts receivable (Bn. VND),Chỉ tiêu cân đối kế toán,24,tỷ,BH
396,BSA10,Trả trước cho người bán ngắn hạn (Tỷ đồng),Prepayments to suppliers (Bn. VND),Chỉ tiêu cân đối kế toán,25,tỷ,BH
397,BSA159,Phải thu về cho vay ngắn hạn (Tỷ đồng),Short-term loans receivables (Bn. VND),Chỉ tiêu cân đối kế toán,26,tỷ,BH
398,BSA16,"Hàng tồn kho, ròng (Tỷ đồng)","Inventories, Net (Bn. VND)",Chỉ tiêu cân đối kế toán,27,tỷ,BH
399,BSA22,Tài sản lưu động khác (Tỷ đồng),Other current assets (Bn. VND),Chỉ tiêu cân đối kế toán,28,tỷ,BH
400,BSA23,TÀI SẢN DÀI HẠN (Tỷ đồng),LONG-TERM ASSETS (Bn. VND),Chỉ tiêu cân đối kế toán,29,tỷ,BH
401,le,(Vay NH+DH)/VCSH,(ST+LT borrowings)/Equity,Chỉ tiêu cơ cấu nguồn vốn,30,index,BH
402,de,Nợ/VCSH,Debt/Equity,Chỉ tiêu cơ cấu nguồn vốn,31,index,BH
403,ccc,Chu kỳ tiền,Cash Cycle,Chỉ tiêu hiệu quả hoạt động,32,index,BH
404,dpo,Số ngày thanh toán bình quân,Days Payable Outstanding,Chỉ tiêu hiệu quả hoạt động,33,index,BH
405,dso,Số ngày tồn kho bình quân,Days Inventory Outstanding,Chỉ tiêu hiệu quả hoạt động,34,index,BH
406,acp,Số ngày thu tiền bình quân,Days Sales Outstanding,Chỉ tiêu hiệu quả hoạt động,35,index,BH
407,fat,Vòng quay TSCĐ,Fixed Asset Turnover,Chỉ tiêu hiệu quả hoạt động,36,index,BH
408,at,Vòng quay tài sản,Asset Turnover,Chỉ tiêu hiệu quả hoạt động,37,index,BH
409,ae,Đòn bẩy tài chính,Financial Leverage,Chỉ tiêu thanh khoản,38,index,BH
410,interestCoverage,Khả năng chi trả lãi vay,Interest Coverage,Chỉ tiêu thanh khoản,39,index,BH
411,quickRatio,Chỉ số thanh toán nhanh,Quick Ratio,Chỉ tiêu thanh khoản,40,index,BH
412,cashRatio,Chỉ số thanh toán tiền mặt,Cash Ratio,Chỉ tiêu thanh khoản,41,index,BH
413,currentRatio,Chỉ số thanh toán hiện thời,Current Ratio,Chỉ tiêu thanh khoản,42,index,BH
414,CFA22,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (Tỷ đồng)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Chỉ tiêu lưu chuyển tiền tệ,43,tỷ,BH
415,CFA21,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (Tỷ đồng)","Loans granted, purchases of debt instruments (Bn. VND)",Chỉ tiêu lưu chuyển tiền tệ,44,tỷ,BH
416,BSA96,TỔNG CỘNG NGUỒN VỐN (Tỷ đồng),TOTAL RESOURCES (Bn. VND),Chỉ tiêu cân đối kế toán,45,tỷ,BH
417,BSA90,Lãi chưa phân phối (Tỷ đồng),Undistributed earnings (Bn. VND),Chỉ tiêu cân đối kế toán,46,tỷ,BH
418,BSA86,Quỹ đầu tư và phát triển (Tỷ đồng),Investment and development funds (Bn. VND),Chỉ tiêu cân đối kế toán,47,tỷ,BH
419,BSA175,Cổ phiếu phổ thông (Tỷ đồng),Common shares (Bn. VND),Chỉ tiêu cân đối kế toán,48,tỷ,BH
420,BSA80,Vốn góp của chủ sở hữu (Tỷ đồng),Paid-in capital (Bn. VND),Chỉ tiêu cân đối kế toán,49,tỷ,BH
421,BSA79,Vốn và các quỹ (Tỷ đồng),Capital and reserves (Bn. VND),Chỉ tiêu cân đối kế toán,50,tỷ,BH
422,BSA78,VỐN CHỦ SỞ HỮU (Tỷ đồng),OWNER'S EQUITY(Bn.VND),Chỉ tiêu cân đối kế toán,51,tỷ,BH
423,BSA173,Trái phiếu chuyển đổi (Tỷ đồng),Convertible bonds (Bn. VND),Chỉ tiêu cân đối kế toán,52,tỷ,BH
424,ISA6,Thu nhập tài chính,Financial Income,Chỉ tiêu kết quả kinh doanh,6,tỷ,CT
425,BSA71,Vay và nợ thuê tài chính dài hạn (Tỷ đồng),Long-term borrowings (Bn. VND),Chỉ tiêu cân đối kế toán,53,tỷ,BH
426,BSA67,Nợ dài hạn (Tỷ đồng),Long-term liabilities (Bn. VND),Chỉ tiêu cân đối kế toán,54,tỷ,BH
427,BSA58,Người mua trả tiền trước ngắn hạn (Tỷ đồng),Advances from customers (Bn. VND),Chỉ tiêu cân đối kế toán,55,tỷ,BH
428,BSA56,Vay và nợ thuê tài chính ngắn hạn (Tỷ đồng),Short-term borrowings (Bn. VND),Chỉ tiêu cân đối kế toán,56,tỷ,BH
429,BSA55,Nợ ngắn hạn (Tỷ đồng),Current liabilities (Bn. VND),Chỉ tiêu cân đối kế toán,57,tỷ,BH
430,BSA54,NỢ PHẢI TRẢ (Tỷ đồng),LIABILITIES (Bn. VND),Chỉ tiêu cân đối kế toán,58,tỷ,BH
431,BSA53,TỔNG CỘNG TÀI SẢN (Tỷ đồng),TOTAL ASSETS (Bn. VND),Chỉ tiêu cân đối kế toán,59,tỷ,BH
432,BSA209,Lợi thế thương mại (Tỷ đồng),Good will (Bn. VND),Chỉ tiêu cân đối kế toán,60,tỷ,BH
433,BSA50,Trả trước dài hạn (Tỷ đồng),Long-term prepayments (Bn. VND),Chỉ tiêu cân đối kế toán,61,tỷ,BH
434,BSA46,Tài sản dài hạn khác (Tỷ đồng),Other long-term assets (Bn. VND),Chỉ tiêu cân đối kế toán,62,tỷ,BH
435,BSA43,Đầu tư dài hạn (Tỷ đồng),Long-term investments (Bn. VND),Chỉ tiêu cân đối kế toán,63,tỷ,BH
436,BSA29,Tài sản cố định (Tỷ đồng),Fixed assets (Bn. VND),Chỉ tiêu cân đối kế toán,64,tỷ,BH
